Wavelength_(nm)	S2_1.3uJ(arb.units)	S2_15uJ(arb.units)	S2_400uJ(arb.units)
249.57	8.4946E-4	9.5174E-4	0.00370427
250.03	0.00115548	-7.8168E-4	0.00380614
250.49	0.00183529	3.0602E-4	8.1577E-4
250.96	-0.00288849	-4.4198E-4	6.7981E-4
251.42	0.00367017	0.00367017	0.00591295
251.88	6.1163E-4	0.00438408	0.00122326
252.34	2.7192E-4	0.00434999	7.8168E-4
252.8	-1.3596E-4	-7.4759E-4	3.738E-4
253.27	0.00156336	7.4759E-4	-0.00139331
253.73	-2.0374E-4	0.00326229	0.0035683
254.19	-0.00125735	0.0032286	-0.00400988
254.65	0.00122326	0.00122326	0.0042818
255.11	0.00275253	0.0057092	0.00693246
255.57	0.00326229	8.1577E-4	0.00591295
256.04	6.4572E-4	0.00176711	-5.7754E-4
256.5	0.00485974	-0.00186898	0.00129144
256.96	0.00472378	6.4572E-4	0.00258288
257.42	0.0057092	0.00703474	0.00336456
257.88	0.00176711	0.00502939	0.00594704
258.34	-8.8355E-4	2.3783E-4	0.00135922
258.8	0.00244692	9.1764E-4	0.00346643
259.27	-0.00193716	7.135E-4	0.00326229
259.73	3.0602E-4	6.1163E-4	0.00346643
260.19	0.00299036	0.00502939	0.00105361
260.65	0.00268475	0.00441776	0.00706842
261.11	0.00122326	0.00112139	-1.0187E-4
261.57	0.0036024	0.00370427	0.0036024
262.03	-0.00135922	-1.3596E-4	-0.00135922
262.49	0.00234505	0.00234505	0.00336456
262.95	0	-2.0374E-4	0.00275253
263.41	6.7981E-4	-0.00288849	0.0018012
263.88	-0.00156336	-0.00258288	-7.4759E-4
264.34	-5.7754E-4	0.00166524	0.00227686
264.8	5.4385E-4	-2.7192E-4	0.0057433
265.26	1.7005E-4	6.7981E-4	7.8168E-4
265.72	0.00152927	3.0602E-4	0.00448595
266.18	0.0032286	0.00169933	0.0018012
266.64	0.00244692	0.00295668	0.00346643
267.1	0.00370427	-7.8168E-4	0.00197085
267.56	9.8542E-4	0.00220909	0.0053695
268.02	-0.00125735	9.8542E-4	0.00343234
268.48	3.738E-4	0.00169933	0.00312632
268.94	0.00462191	0.00462191	8.4946E-4
269.4	0.00227686	0.00492752	0.00329638
269.86	-0.00118957	-9.8542E-4	0.00319451
270.32	4.0789E-4	3.0602E-4	0.00234505
270.78	2.0374E-4	1.0187E-4	0.00163114
271.24	0.00200494	0.00424812	9.8542E-4
271.7	0.00448595	0.00397619	0.00275253
272.16	0.00309264	-0.00129144	0.00380614
272.62	0.00132553	0.00285481	0.00509758
273.08	0.00176711	-3.738E-4	-0.00220909
273.54	0.00197085	0.00329638	0.00146149
274	0.00295668	-0.00295668	0.00234505
274.46	0.00309264	0.00635492	0.00299036
274.92	0.00496161	0.0032286	0.00333047
275.38	0.00282071	0.00149518	0.00139331
275.84	0.00339825	0.0036024	0.00513167
276.3	4.4198E-4	0.00156336	-2.7192E-4
276.76	0.00146149	-5.7754E-4	0.00268475
277.22	-0.00101952	2.0374E-4	-0.00265066
277.68	-3.397E-4	0.00200494	5.7754E-4
278.14	0.0024806	0.00176711	0.00533541
278.59	-0.00115548	0.00343234	6.778E-5
279.05	0.00472378	-1.7005E-4	0.00329638
279.51	3.397E-4	0.00482565	-6.778E-5
279.97	0.00231096	7.8168E-4	0.00373836
280.43	-0.00101952	-0.00152927	0.00244692
280.89	0.00118957	8.8355E-4	0.00200494
281.35	2.0374E-4	2.0374E-4	0.00132553
281.81	-0.00292258	0.00299036	5.4385E-4
282.27	-0.00193716	-9.1764E-4	0.00285481
282.72	0.00455373	0.00200494	1.7005E-4
283.18	-0.0014274	-0.00448595	0.00387432
283.64	0.00268475	-0.0018012	0.00390801
284.1	-3.397E-4	0.00302445	0.00200494
284.56	0.00282071	0.00312632	0.0032286
285.02	-7.4759E-4	0.00129144	-0.00125735
285.48	2.7192E-4	7.8168E-4	0.00598113
285.93	0.00220909	-4.4198E-4	9.8542E-4
286.39	0.00417993	0.00275253	0.00265066
286.85	6.1163E-4	9.1764E-4	0.00122326
287.31	0.0025147	0.0039421	0.00363608
287.77	0.0024806	0.00125735	0.00207312
288.23	7.4759E-4	4.4198E-4	0.00115548
288.68	0.00285481	0.0035683	0.00326229
289.14	1.0187E-4	0.00224277	0.0042818
289.6	0.00234505	0.00224277	0.00152927
290.06	0.00224277	0.00326229	0.00244692
290.52	0.00166524	0.00584517	0.00737444
290.97	0.00336456	0.00326229	-0.00152927
291.43	0.00210681	5.7754E-4	0.00118957
291.89	0.00312632	-6.4572E-4	6.7981E-4
292.35	0.00319451	0.00146149	0.00370427
292.81	0.00367017	-5.0976E-4	0.00265066
293.26	1.3596E-4	0.00380614	0.00197085
293.72	0.00441776	0.00339825	0.00431589
294.18	0.00720439	0.00434999	0.00720439
294.64	2.3783E-4	0.00380614	0.00472378
295.09	-6.4572E-4	0.00220909	4.7567E-4
295.55	-0.00265066	6.1163E-4	0.00112139
296.01	-3.397E-4	-0.00288849	0.00129144
296.46	0.0024806	-0.00139331	6.4572E-4
296.92	-0.00115548	0.00149518	2.7192E-4
297.38	0.00118957	7.8168E-4	0.00414584
297.84	-0.00319451	0.00190307	0.00261657
298.29	0	4.0789E-4	0.0014274
298.75	0.00373836	0.0046556	0.0046556
299.21	0.0025147	0.0046556	0.00261657
299.66	6.4572E-4	0.00186898	0.00268475
300.12	-6.1163E-4	1.0187E-4	0.00367017
300.58	0.00237873	0.00278662	8.4946E-4
301.03	6.7981E-4	0.00333047	0.00149518
301.49	0.00353421	0.00445186	0.00384023
301.95	0.00424812	-0.0024806	1.7005E-4
302.4	-0.00193716	0.00519945	0.00224277
302.86	6.7981E-4	0.00312632	0.00689877
303.32	5.4385E-4	-0.00241283	-8.8355E-4
303.77	-0.00217499	-0.00329638	6.7981E-4
304.23	-4.0789E-4	-3.0602E-4	0.00713661
304.69	0.00173301	0	0.00275253
305.14	0.00288849	-9.8542E-4	0.00105361
305.6	-8.1577E-4	0.00163114	-0.00132553
306.06	0.00343234	0.00343234	0.00424812
306.51	-5.4385E-4	0.00455373	0.00485974
306.97	0	-0.00101952	0.00193716
307.42	-5.0976E-4	-0.00326229	0.00122326
307.88	8.4946E-4	0.00288849	3.397E-4
308.34	-3.397E-4	6.7981E-4	0.00373836
308.79	0.00159705	0.00231096	0.00649089
309.25	-3.397E-4	-0.00227686	0.00271884
309.7	8.4946E-4	0.00125735	0.00309264
310.16	0.00285481	0.00244692	0.00316042
310.62	-2.0374E-4	0.00438408	0.00305855
311.07	-0.00146149	0.00445186	0.00343234
311.53	-0.00197085	0.00149518	0.00302445
311.98	7.8168E-4	0.00343234	0.00373836
312.44	4.4198E-4	0.00207312	0.00197085
312.89	-0.00380614	-0.00105361	-0.00299036
313.35	0.00914155	0.00638902	0.00771414
313.8	9.8542E-4	0.00434999	0.00129144
314.26	-2.7192E-4	3.409E-5	0.00472378
314.72	0.00757818	0.00227686	0.00268475
315.17	0.00655867	0.00543728	0.00186898
315.63	1.3596E-4	-3.738E-4	0.00329638
316.08	0.00115548	-1.7005E-4	9.5174E-4
316.54	-9.1764E-4	0.00152927	0.00489343
316.99	0.00163114	0.0014274	0.00265066
317.45	-0.00169933	0.0024806	0.00411215
317.9	-0.01471479	-0.0128799	-0.01124835
318.36	0.00292258	0.00169933	0.00424812
318.81	-6.778E-5	0.0036024	0.00451963
319.27	-2.3783E-4	0.00169933	8.8355E-4
319.72	0.00438408	0.0021409	0.00540319
320.17	0.0075104	0.00312632	0.00496161
320.63	0.00271884	0.0025147	0.00169933
321.08	0.00122326	0.00265066	0.00550546
321.54	3.397E-4	5.4385E-4	-4.7567E-4
321.99	-2.3783E-4	0.00414584	2.7192E-4
322.45	0.00203903	6.1163E-4	0.00112139
322.9	2.0374E-4	0.00275253	0.00173301
323.36	-0.00224277	-0.00112139	-0.00152927
323.81	-8.1577E-4	-7.135E-4	8.1577E-4
324.26	0.00489343	-6.1163E-4	7.135E-4
324.72	0.00169933	0.00424812	0.00108729
325.17	0.0042818	0.0042818	0.00805425
325.63	8.1577E-4	-0.00122326	0.00224277
326.08	0.00261657	0.00414584	0.00200494
326.54	0.00203903	0.00132553	0.00275253
326.99	0.00190307	0.00343234	0.00547137
327.44	0.00122326	0.00163114	0.00234505
327.9	4.0789E-4	0.00224277	-5.0976E-4
328.35	2.7192E-4	0.00169933	0.00118957
328.8	0.00108729	0.00343234	0.00353421
329.26	0.00176711	-9.8542E-4	0.00105361
329.71	0.00370427	-0.00424812	-0.00271884
330.17	0.00451963	0.00197085	0.0071707
330.62	1.0187E-4	0.00489343	0.00652498
331.07	-0.00200494	0.00370427	0.00166524
331.53	-3.738E-4	0.00462191	0.00299036
331.98	0.00173301	0	0.00305855
332.43	0.00122326	0.00367017	1.0187E-4
332.89	0.00468969	3.0602E-4	0.00519945
333.34	-0.00159705	0.00288849	0.00227686
333.79	0.00367017	-1.0187E-4	0.00112139
334.25	0.00265066	0.00152927	0.00183529
334.7	0.00176711	-0.00169933	0.00227686
335.15	1.3596E-4	0.00105361	0.00309264
335.6	-5.4385E-4	-0.00115548	0.00445186
336.06	-0.00186898	0.00445186	0.0018012
336.51	0.00129144	-0.00105361	2.7192E-4
336.96	0.00176711	0.00329638	0.00513167
337.42	0.0021409	0.00101952	0.00224277
337.87	0	-0.00173301	0.00122326
338.32	-0.00122326	0.0021409	0.00244692
338.77	0.00183529	7.135E-4	0.00173301
339.23	-0.00163114	-0.0021409	0.0014274
339.68	-0.00118957	0.00166524	0.00288849
340.13	3.0602E-4	-9.1764E-4	0.00377204
340.58	0.00261657	0.00139331	0.00220909
341.04	0.00101952	0.00407806	0.00581107
341.49	0.00210681	0.00149518	-3.409E-5
341.94	0.00285481	0.00367017	0.00305855
342.39	0.00424812	-6.4572E-4	0.00577739
342.85	3.409E-5	0.00125735	4.4198E-4
343.3	0.00156336	0.00553915	0.00186898
343.75	4.0789E-4	-9.1764E-4	6.1163E-4
344.2	-0.00265066	0.00101952	0.00397619
344.65	0.0024806	0.00146149	0.00564143
345.11	7.4759E-4	1.3596E-4	0.00462191
345.56	2.0374E-4	0.00234505	0.00112139
346.01	0.00329638	8.4946E-4	1.3596E-4
346.46	8.1577E-4	0.00285481	0.00397619
346.91	0.00407806	0.00275253	0.00122326
347.36	0.00244692	0.00316042	0.00295668
347.82	8.8355E-4	0.00231096	0.00190307
348.27	-0.00190307	0.00278662	4.4198E-4
348.72	6.4572E-4	0.00431589	0.00288849
349.17	5.4385E-4	0.00217499	0.00197085
349.62	-0.00261657	-8.8355E-4	0.00146149
350.07	0.00139331	0.00190307	0.00271884
350.52	-7.8168E-4	0.00625305	0.00390801
350.98	0.00377204	0.00234505	0.00326229
351.43	0.00268475	0.00492752	0.00564143
351.88	4.4198E-4	3.409E-5	2.3783E-4
352.33	-0.00105361	0.00363608	0.00506348
