Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
220.35	-0.00105835	-0.00229333	-0.00291099	2.6476E-4	1.7627E-4	7.9394E-4
220.82	5.2917E-4	-7.058E-4	0.00132311	0.00264623	-0.00185229	4.4104E-4
221.28	-0.00238146	-0.00255809	-0.00255809	-0.00194042	-8.814E-5	-0.00335203
221.75	7.9394E-4	0.00238146	0.00176415	0.0028225	0.00246995	0.00529245
222.21	-1.7627E-4	0.00185229	0.00105835	-0.00167601	-0.00185229	-0.00194042
222.68	-0.00176415	-0.00149939	-0.00114684	4.4104E-4	0.00149939	0.00141125
223.14	-6.1731E-4	0.00229333	0.00105835	2.6476E-4	8.8208E-4	0.00149939
223.61	0.0035283	0.00344016	2.6476E-4	2.6476E-4	0.00132311	9.7021E-4
224.07	0.00141125	0.00185229	0.00194042	0.00229333	0.00105835	0.0031754
224.54	0.00361644	0.00335203	0.0028225	0.00176415	0.00344016	0.00396934
225	-0.00176415	-3.529E-4	-1.7627E-4	0.00132311	7.9394E-4	3.529E-4
225.47	0	0.00202891	0.0035283	0.00220519	0.00238146	0.0031754
225.93	1.7627E-4	0.00132311	-0.00185229	0.00185229	7.9394E-4	-2.6476E-4
226.4	-0.0035283	-0.00132311	-0.00291099	-0.00238146	-0.00141125	-0.00123498
226.86	-6.1731E-4	6.1731E-4	-1.7627E-4	3.529E-4	-5.2917E-4	6.1731E-4
227.33	0.00158788	0.00441038	0.00114684	7.9394E-4	0.00194042	0.00105835
227.79	-0.00194042	-0.00132311	-0.00264623	-7.058E-4	-6.1731E-4	-0.00264623
228.26	2.6476E-4	0.00167601	2.6476E-4	-1.7627E-4	8.8208E-4	-0.00211705
228.72	3.529E-4	0.00229333	0.00185229	5.2917E-4	7.058E-4	7.9394E-4
229.18	0.00555686	0.00476328	0.00220519	0.00176415	9.7021E-4	0.00617453
229.65	0.00185229	0.00502769	-1.7627E-4	0.00441038	6.1731E-4	0.00194042
230.11	0.00238146	0.00229333	7.9394E-4	8.8208E-4	0.00211705	7.9394E-4
230.58	-0.00158788	-0.00423375	-7.058E-4	-9.7021E-4	-0.00291099	-0.00211705
231.04	-0.00211705	-0.00308726	-0.00211705	-0.00167601	-0.00105835	1.7627E-4
231.51	7.058E-4	-0.00308726	0.00167601	-0.00141125	-0.00105835	-0.00291099
231.97	6.1731E-4	9.7021E-4	0.00396934	0.00185229	0.00229333	0.00202891
232.43	-0.00141125	-6.1731E-4	8.814E-5	9.7021E-4	0.00158788	-6.1731E-4
