Wavelength (nm)	S2_532(arb.units)	S2_450(arb.units)	S2_400(arb.units)
262.95	0.00792858	5.332E-4	0
263.41	0.00619606	-9.8739E-4	0
263.88	0.00830334	-0.00135727	0
264.34	0.00819658	-0.00284719	0
264.8	0.00476034	-0.00243383	0
265.26	0.00729068	-0.00159696	0
265.72	0.00546247	-4.4911E-4	0
266.18	0.00903117	-4.6678E-4	0
266.64	0.00764905	-2.2201E-4	0
267.1	0.00857711	-0.00130629	0
267.56	0.00658323	-0.00139038	0
268.02	0.00862628	-2.602E-4	0
268.48	0.01057365	-3.0875E-4	0
268.94	0.00725745	-0.00145416	0
269.4	0.00452245	-0.00227824	0
269.86	0.00566181	-4.4911E-4	0
270.32	0.00853503	-0.00310231	0
270.78	0.00581996	-0.0012092	0
271.24	0.00831353	-0.0026916	0
271.7	0.00878221	5.3056E-4	0
272.16	0.00492867	-0.00151551	0
272.62	0.00630813	-1.4544E-4	0
273.08	0.00808894	-1.5316E-4	0
273.54	0.0072198	-6.76E-4	0
274	0.00784397	-4.8729E-4	0
274.46	0.01062149	4.2087E-4	0
274.92	0.00956984	-4.5154E-4	0
275.38	0.00785194	-4.745E-4	0
275.84	0.00912375	-0.00115313	0
276.3	0.00565517	-0.00109951	0
276.76	0.00465801	-7.0159E-4	0
277.22	0.00621245	-0.00222969	0
277.68	0.00774695	-0.00196949	0
278.14	0.00637414	-2.73E-4	0
278.59	0.00484052	-0.00113526	0
279.05	0.01003498	-0.00114542	0
279.51	0.00766943	3.6989E-4	0
279.97	0.01036456	-8.2407E-4	0
280.43	0.00755337	2.2445E-4	0
280.89	0.00529015	-0.00183949	0
281.35	0.00556701	-8.7506E-4	0
281.81	0.00655665	-0.0010205	0
282.27	0.00601443	-9.8475E-4	0
282.72	0.00567067	-0.00188783	0
283.18	0.00617922	1.4787E-4	0
283.64	0.00733187	-5.0253E-4	0
284.1	0.00958313	-2.7036E-4	0
284.56	0.00695932	2.7808E-4	0
285.02	0.0058111	-8.2143E-4	0
285.48	0.00482811	-0.00103837	0
285.93	0.01010851	-7.219E-4	0
286.39	0.00702843	-0.00171944	0
286.85	0.00602905	-2.2709E-4	0
287.31	0.00785194	-0.0013522	0
287.77	0.00587312	-8.937E-5	0
288.23	0.00509878	-1.3772E-4	0
288.68	0.00756799	-9.0065E-4	0
289.14	0.00476034	-0.00146696	0
289.6	0.01007928	-0.00132152	0
290.06	0.00889783	-0.00122971	0
