Time(ns)	Amplitude(arb. Unit)		
-48.21	98.523951
-48.185	98.263238
-48.16	98.0715
-48.135	97.986787
-48.11	97.978885
-48.085	98.086262
-48.06	98.27818
-48.035	98.469754
-48.01	98.59282
-47.985	98.684861
-47.96	98.799787
-47.935	98.876541
-47.91	98.938197
-47.885	99.007098
-47.86	99.099074
-47.835	99.12173
-47.81	98.938057
-47.785	98.546607
-47.76	97.994787
-47.735	97.480795
-47.71	97.235131
-47.685	97.396484
-47.66	97.803041
-47.635	98.254967
-47.61	98.661467
-47.585	98.983893
-47.56	99.168377
-47.535	99.198828
-47.51	99.199123
-47.485	99.290467
-47.46	99.466992
-47.435	99.636074
-47.41	99.781328
-47.385	99.942631
-47.36	100.080566
-47.335	100.126459
-47.31	100.027393
-47.285	99.850516
-47.26	99.63623
-47.235	99.290746
-47.21	98.7695
-47.185	98.224893
-47.16	97.856402
-47.135	97.703475
-47.11	97.68
-47.085	97.803246
-47.06	98.094516
-47.035	98.470098
-47.01	98.830631
-46.985	99.17559
-46.96	99.536131
-46.935	99.896664
-46.91	100.226344
-46.885	100.495131
-46.86	100.617672
-46.835	100.464508
-46.81	100.049811
-46.785	99.544197
-46.76	99.183664
-46.735	99.052754
-46.71	99.122189
-46.685	99.244852
-46.66	99.306213
-46.635	99.252705
-46.61	99.106811
-46.585	98.96109
-46.56	98.876664
-46.535	98.845861
-46.51	98.837893
-46.485	98.876943
-46.46	98.960656
-46.435	99.037639
-46.41	99.12218
-46.385	99.306246
-46.36	99.659115
-46.335	100.081066
-46.31	100.4255
-46.285	100.594533
-46.26	100.56391
-46.235	100.341672
-46.21	100.065033
-46.185	99.865975
-46.16	99.751049
-46.135	99.597246
-46.11	99.359434
-46.085	99.129754
-46.06	98.999139
-46.035	98.945861
-46.01	98.960672
-45.985	99.045623
-45.96	99.129754
-45.935	99.122025
-45.91	99.05282
-45.885	99.037828
-45.86	99.061074
-45.835	99.022549
-45.81	98.930164
-45.785	98.907385
-45.76	98.96073
-45.735	98.976713
-45.71	98.953123
-45.685	99.052648
-45.66	99.336836
-45.635	99.72009
-45.61	100.042689
-45.585	100.249352
-45.56	100.34918
-45.535	100.372418
-45.51	100.418205
-45.485	100.594959
-45.46	100.88641
-45.435	101.139107
-45.41	101.284598
-45.385	101.354033
-45.36	101.322877
-45.335	101.139041
-45.31	100.755959
-45.285	100.157844
-45.26	99.45223
-45.235	98.738705
-45.21	98.10177
-45.185	97.587844
-45.16	97.220336
-45.135	97.036213
-45.11	97.074328
-45.085	97.335279
-45.06	97.656885
-45.035	97.8645
-45.01	97.895066
-44.985	97.849225
-44.96	97.802915
-44.935	97.818196
-44.91	98.002385
-44.885	98.424393
-44.86	98.983811
-44.835	99.49768
-44.81	99.88918
-44.785	100.303566
-44.76	100.817082
-44.735	101.284861
-44.71	101.500016
-44.685	101.430754
-44.66	101.200836
-44.635	100.962664
-44.61	100.839713
-44.585	100.886197
-44.56	101.070164
-44.535	101.33873
-44.51	101.538262
-44.485	101.469131
-44.46	101.039344
-44.435	100.33373
-44.41	99.589533
-44.385	98.976598
-44.36	98.523443
-44.335	98.170746
-44.31	97.894746
-44.285	97.779811
-44.26	97.856918
-44.235	98.109902
-44.21	98.501057
-44.185	98.991344
-44.16	99.405508
-44.135	99.57477
-44.11	99.474893
-44.085	99.260025
-44.06	99.099311
-44.035	99.006918
-44.01	99.030221
-43.985	99.160254
-43.96	99.367451
-43.935	99.605213
-43.91	99.842861
-43.885	100.065049
-43.86	100.264926
-43.835	100.410779
-43.81	100.479287
-43.785	100.487197
-43.76	100.433393
-43.735	100.371811
-43.71	100.364254
-43.685	100.518115
-43.66	100.863303
-43.635	101.231213
-43.61	101.484426
-43.585	101.537811
-43.56	101.430262
-43.535	101.246361
-43.51	101.070131
-43.485	100.993434
-43.46	101.009066
-43.435	101.008656
-43.41	100.962352
-43.385	100.8325
-43.36	100.633262
-43.335	100.341525
-43.31	99.996566
-43.285	99.666648
-43.26	99.405582
-43.235	99.268057
-43.21	99.30641
-43.185	99.467418
-43.16	99.658984
-43.135	99.819574
-43.11	100.019393
-43.085	100.325885
-43.06	100.640221
-43.035	100.8555
-43.01	100.932369
-42.985	100.955025
-42.96	100.985467
-42.935	101.101041
-42.91	101.269549
