Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
264.34	0.00318906	0.00169405	0
264.8	0.00398156	0.00164815	0
265.26	0.00551031	-7.8061E-4	0
265.72	0.0032369	4.6942E-4	0
266.18	0.00558163	2.9859E-4	0
266.64	0.00764905	4.4139E-4	0
267.1	0.00490519	7.347E-4	0
267.56	0.00435766	0.00207918	0
268.02	0.00729068	0.00111739	0
268.48	0.00389695	4.855E-5	0
268.94	0.00124834	0.00186244	0
269.4	0.00441082	0.00200788	0
269.86	0.00744218	0.00281652	0
270.32	0.00341631	7.2454E-4	0
270.78	0.00804552	0.00144401	0
271.24	0.00597678	0.00149256	0
271.7	0.00622263	0.0020613	0
272.16	0.00559625	7.2962E-4	0
272.62	0.00441658	7.219E-4	0
273.08	0.00586337	9.6951E-4	0
273.54	0.00432665	0.00192622	0
274	0.00383804	4.8222E-4	0
274.46	0.002498	-2.9331E-4	0
274.92	0.0066767	1.0969E-4	0
275.38	0.00273279	2.9087E-4	0
275.84	0.00456143	6.3273E-4	0
276.3	0.00409718	0.0011966	0
276.76	0.00643837	4.7206E-4	0
277.22	0.00387569	5.2548E-4	0
277.68	9.5907E-4	-8.166E-5	0
278.14	0.00414857	5.4336E-4	0
278.59	0.00584211	8.5475E-4	0
279.05	0.00447106	0.00166074	0
279.51	0.00555505	9.3112E-4	0
279.97	0.0019075	2.4741E-4	0
280.43	0.005773	7.347E-4	0
280.89	0.00250819	6.0978E-4	0
281.35	0.00345308	6.5568E-4	0
281.81	0.00199388	-3.5709E-4	0
282.27	0.00223132	0.00248482	0
282.72	0.00299991	0.00112246	0
283.18	0.00451005	1.4787E-4	0
283.64	0.00377115	3.6481E-4	0
284.1	0.0065788	-4.745E-4	0
284.56	0.0015066	6.8636E-4	0
285.02	0.00358553	5.0517E-4	0
285.48	0.00371533	0.00161484	0
285.93	0.00298662	8.5982E-4	0
286.39	0.00435766	0.00185208	0
286.85	0.0031359	-2.2709E-4	0
287.31	0.00451359	-7.658E-5	0
287.77	0.00398156	3.189E-4	0
288.23	0.00643394	0.0011379	0
288.68	0.00623282	0.00139546	0
289.14	0.00398156	6.76E-4	0
289.6	0.00529458	9.7459E-4	0
290.06	0.00411269	-8.2143E-4	0
290.52	0.00340967	0.00104345	0
290.97	0.00653405	5.2548E-4	0
291.43	0.00619694	9.6443E-4	0
291.89	0.00905553	0.00104609	0
292.35	0.00674004	-8.3931E-4	0
292.81	0.00622839	-6.1993E-4	0
293.26	0.00811773	5.204E-4	0
293.72	0.00678124	7.3734E-4	0
294.18	0.00369894	0.00200016	0
294.64	0.00376672	-6.378E-5	0
295.09	0.00585673	9.1081E-4	0
295.55	0.00479267	0.00112003	0
296.01	0.00537033	0.0027503	0
296.46	0.00354079	7.0423E-4	0
296.92	0.00221538	6.7356E-4	0
297.38	0.00710152	-4.9745E-4	0
297.84	0.00412819	-7.5257E-4	0
298.29	0.00393461	0.00185473	0
298.75	0.00738326	0.00137007	0
299.21	0.00662752	0.0014694	0
299.66	0.00561707	0.0016124	0
300.12	0.00590989	5.8926E-4	0
300.58	0.00589084	-1.0725E-4	0
301.03	0.00619163	5.2548E-4	0
301.49	0.00135421	6.3273E-4	0
301.95	0.00272393	0.00166074	0
302.4	0.00401169	4.4647E-4	0
302.86	0.00368565	0.00123743	0
303.32	0.0053845	0.00138267	0
303.77	0.00232214	0.00175519	0
304.23	0.00776379	-3.819E-5	0
304.69	0.00613138	3.819E-5	0
305.14	0.00413617	0.00155634	0
305.6	0.00623282	8.7506E-4	0
306.06	0.00367768	0.00183441	0
306.51	0.00277398	6.3009E-4	0
306.97	0.00606006	6.4045E-4	0
307.42	0.00215203	0.00133432	0
307.88	0.0074156	9.445E-5	0
308.34	0.00159032	5.4336E-4	0
308.79	0.00237795	8.6226E-4	0
309.25	0.00232347	0.00119132	0
309.7	0.00125277	8.2915E-4	0
310.16	0.00325374	7.4486E-4	0
310.62	0.00436652	5.0009E-4	0
311.07	0.00347169	0.00262782	0
311.53	0.00353415	0.00118624	0
311.98	0.00542127	6.1486E-4	0
312.44	0.00346637	2.8823E-4	0
312.89	0.00555151	0.00120168	0
313.35	0.00467262	0.00144645	0
313.8	0.00251705	7.0159E-4	0
314.26	0.00580977	0.00129593	0
314.72	0.00380437	-4.9745E-4	0
315.17	0.00420173	8.166E-5	0
315.63	0.0045889	-9.689E-5	0
316.08	0.00378222	0.00119396	0
316.54	0.0052144	0.00109951	0
316.99	0.00638388	0.00164815	0
317.45	0.0085873	9.8475E-4	0
317.9	0.00357756	-3.0103E-4	0
318.36	0.00344644	2.7036E-4	0
318.81	0.00471028	0.00106904	0
319.27	0.00486045	0.00133168	0
319.72	0.00483033	0.00297983	0
320.17	0.00771949	-5.2548E-4	0
320.63	0.00435545	2.3217E-4	0
321.08	0.00223885	-7.1175E-4	0
321.54	0.00390803	0.00181898	0
321.99	0.00305572	0.00183441	0
322.45	0.00323469	0.00113018	0
322.9	0.00500176	9.9998E-4	0
323.36	0.00554043	8.6734E-4	0
323.81	0.00209754	4.1844E-4	0
324.26	0.00478027	1.5559E-4	0
324.72	0.0041149	8.8786E-4	0
325.17	0.0048671	7.72E-6	0
325.63	0.0040963	8.673E-5	0
326.08	0.00402143	-5.87E-5	0
326.54	0.00435545	7.3734E-4	0
326.99	0.00543368	0.0014694	0
327.44	0.00579515	1.1233E-4	0
327.9	0.00292327	2.0658E-4	0
328.35	0.00166917	-2.6528E-4	0
328.8	0.00468458	0.00109443	0
