time (ns)	S2_61uJ(%)	S2_176uJ(%)	S2_400uJ(%)	
-34.075	99.45191	100.379617	102.076492
-34.05	99.183344	100.477435	102.131075
-34.025	98.99182	100.5424	102.014
-34	98.87677	100.63973	101.647392
-33.975	98.884492	100.7696	101.054892
-33.95	99.014582	100.949287	100.267575
-33.925	99.144959	101.1358	99.393833
-33.9	99.229557	101.233435	98.528358
-33.875	99.290967	101.128283	97.83455
-33.85	99.443885	100.843313	97.444792
-33.825	99.70518	100.493687	97.335567
-33.8	100.042352	100.118965	97.437
-33.775	100.418164	99.809591	97.764317
-33.75	100.747959	99.647174	98.372408
-33.725	100.916689	99.687548	99.06675
-33.7	100.886361	99.825748	99.565375
-33.675	100.709549	99.940217	99.78365
-33.65	100.486951	100.102643	99.893242
-33.625	100.249607	100.452574	100.056867
-33.6	99.980943	100.883565	100.275317
-33.575	99.636164	101.176543	100.50115
-33.55	99.198705	101.258402	100.758892
-33.525	98.676943	101.250076	100.96145
-33.5	98.163016	101.217152	100.97645
-33.475	97.77227	101.143919	100.828767
-33.45	97.611328	101.062487	100.711975
-33.425	97.687566	101.005717	100.773817
-33.4	97.956361	100.981123	101.016017
-33.375	98.308877	100.957214	101.335533
-33.35	98.684811	100.96523	101.631775
-33.325	99.029885	100.94896	101.756475
-33.3	99.344164	100.875609	101.577183
-33.275	99.62091	100.794803	101.195042
-33.25	99.796721	100.7535	100.750708
-33.225	99.835648	100.729026	100.329517
-33.2	99.758713	100.598722	99.98655
-33.175	99.627975	100.298478	99.830842
-33.15	99.452213	99.940461	99.877217
-33.125	99.175697	99.646991	100.025792
-33.1	98.807844	99.452026	100.150258
-33.075	98.454738	99.34613	100.282933
-33.05	98.201992	99.345948	100.563817
-33.025	97.994328	99.435878	100.93815
-33	97.787475	99.557739	101.327308
-32.975	97.549656	99.671148	101.7332
-32.95	97.289361	99.858661	102.154142
-32.925	97.020803	100.094739	102.395575
-32.9	96.775254	100.257406	102.271475
-32.875	96.575492	100.208898	101.748983
-32.85	96.361385	99.972815	101.031675
-32.825	96.146574	99.639409	100.306567
-32.8	96.031295	99.224383	99.697833
-32.775	96.146402	98.703765	99.347358
-32.75	96.521689	98.174583	99.316233
-32.725	97.020574	97.816078	99.487363
-32.7	97.473033	97.653661	99.596592
-32.675	97.779943	97.605217	99.52635
-32.65	97.894697	97.604974	99.3626
-32.625	97.894525	97.694783	99.207058
-32.6	97.833459	97.824783	99.058542
-32.575	97.810516	97.922478	98.933658
-32.55	97.932877	98.003783	98.956933
-32.525	98.255303	98.166322	99.214783
-32.5	98.684631	98.451539	99.65085
-32.475	99.045221	98.784635	100.205192
-32.45	99.283033	99.069661	100.852275
-32.425	99.421434	99.248783	101.459958
-32.4	99.474598	99.313878	101.842467
-32.375	99.451533	99.297661	101.982467
-32.35	99.336484	99.281013	102.068842
-32.325	99.091467	99.337783	102.239733
-32.3	98.769107	99.451761	102.481992
-32.275	98.455115	99.549774	102.7233
-32.25	98.29341	99.622383	102.879367
-32.225	98.347557	99.655061	102.816683
-32.2	98.630811	99.655617	102.427517
-32.175	99.052648	99.696296	101.7796
-32.15	99.474951	99.80953	101.12455
-32.125	99.773893	100.013687	100.618008
-32.1	99.958025	100.216487	100.266942
-32.075	100.088057	100.338843	100.025582
-32.05	100.188172	100.395374	99.901122
-32.025	100.265107	100.40407	99.869576
-32	100.318795	100.338913	99.806956
-31.975	100.418508	100.143696	99.713917
-31.95	100.579115	99.915939	99.666771
-31.925	100.732336	99.785435	99.72885
-31.9	100.809156	99.768913	99.815275
-31.875	100.824967	99.78587	99.877058
-31.85	100.847803	99.826487	99.971225
-31.825	100.878131	99.891452	100.049025
-31.8	100.901434	99.883009	99.978783
-31.775	100.870402	99.655122	99.776408
-31.75	100.717475	99.207487	99.6042
-31.725	100.379648	98.613643	99.550208
-31.7	99.973213	97.971296	99.495325
-31.675	99.674615	97.417635	99.393892
-31.65	99.543992	97.18173	99.245975
-31.625	99.459328	97.360861	99.050792
-31.6	99.260033	97.759365	98.809125
-31.575	98.945336	98.125513	98.676392
-31.55	98.631459	98.410791	98.825017
-31.525	98.454525	98.678861	99.167692
-31.5	98.508795	98.890852	99.573108
-31.475	98.822967	98.988296	99.986142
-31.45	99.352533	99.069226	100.38405
-31.425	99.927467	99.305617	100.579233
-31.4	100.380213	99.646983	100.39215
-31.375	100.625238	99.907913	99.916267
-31.35	100.678631	100.046046	99.417108
-31.325	100.56382	100.135052	99.035025
-31.3	100.349418	100.225177	98.825083
-31.275	100.080631	100.225177	98.8405
-31.25	99.727705	100.102568	99.121033
-31.225	99.244975	99.948034	99.518642
-31.2	98.661959	99.87468	99.869892
-31.175	98.132918	99.87468	100.165608
-31.15	97.680221	99.866791	100.399892
-31.125	97.327352	99.696296	100.4931
-31.1	97.08959	99.29767	100.384592
-31.075	97.051057	98.751904	100.220775
-31.05	97.19673	98.345635	100.189292
-31.025	97.365811	98.288626	100.251908
-31	97.511648	98.564957	100.228633
-30.975	97.688115	98.93893	100.064233
-30.95	97.940631	99.224026	99.814833
-30.925	98.178975	99.346504	99.557817
-30.9	98.301336	99.297009	99.402042
-30.875	98.362926	99.134896	99.494958
-30.85	98.362926	99.004643	99.854308
-30.825	98.262869	99.028748	100.337758
-30.8	98.032893	99.224391	100.726933
-30.775	97.803098	99.427374	100.984733
-30.75	97.764869	99.55787	101.11705
-30.725	97.902336	99.614635	101.148367
-30.7	98.132959	99.646991	101.085925
-30.675	98.423713	99.679287	101.008183
-30.65	98.746492	99.769165	100.984783
-30.625	98.991402	99.972209	100.969067
-30.6	99.122369	100.249235	100.89085
-30.575	99.152992	100.436757	100.75865
-30.55	99.122377	100.526078	100.602633
-30.525	99.029754	100.525522	100.352692
-30.5	98.929934	100.460426	99.970792
-30.475	98.976008	100.249183	99.550258
-30.45	99.160492	99.972278	99.206633
-30.425	99.390402	99.703765	98.941758
-30.4	99.536131	99.484443	98.669083
-30.375	99.628279	99.240348	98.411592
-30.35	99.696951	99.029226	98.255523
-30.325	99.658541	99.037113	98.239692
-30.3	99.474467	99.248661	98.442548
-30.275	99.267959	99.565856	98.957246
-30.25	99.122057	99.924235	99.737
-30.225	99.030074	100.330317	100.540142
-30.2	98.914566	100.729506	101.148175
-30.175	98.838459	101.030498	101.53805
-30.15	98.815336	101.266089	101.725067
-30.125	98.738402	101.526712	101.678275
-30.1	98.523951	101.778704	101.319942
-30.075	98.263238	101.933492	100.77405
-30.05	98.0715	101.998589	100.32995
-30.025	97.986787	101.998963	100.126792
-30	97.978885	101.908717	100.111375
-29.975	98.086262	101.681637	100.204817
-29.95	98.27818	101.33145	100.329458
-29.925	98.469754	100.981698	100.430592
-29.9	98.59282	100.721013	100.462142
-29.875	98.684861	100.615234	100.430592
-29.85	98.799787	100.62374	100.37625
-29.825	98.876541	100.689016	100.282442
-29.8	98.938197	100.729139	100.12715
-29.775	99.007098	100.696903	99.93965
-29.75	99.099074	100.639949	99.768108
-29.725	99.12173	100.672558	99.588642
-29.7	98.938057	100.770324	99.394175
-29.675	98.546607	100.859643	99.292808
-29.65	97.994787	100.924178	99.425242
-29.625	97.480795	100.989768	99.752325
-29.6	97.235131	100.957097	100.165533
-29.575	97.396484	100.721321	100.618333
-29.55	97.803041	100.42859	101.093742
-29.525	98.254967	100.29027	101.546008
-29.5	98.661467	100.387357	101.873925
-29.475	98.983893	100.590957	102.084225
-29.45	99.168377	100.745557	102.162208
-29.425	99.198828	100.76207	101.975067
-29.4	99.199123	100.631448	101.389658
-29.375	99.290467	100.362873	100.586983
-29.35	99.466992	100.119204	99.853658
