Time (ns)	S1_0.6uJ(%)	S1_2.3uJ(%)	S1_6.6uJ(%)	S1_15uJ(%)
-10.20642	101.129545454545	100.084090909091	100.195454545455	99.8909090909091
-10.18142	101.047727272727	100.043181818182	100.063636363636	99.9840909090909
-10.15642	100.881818181818	99.9954545454546	99.9522727272727	100.020454545455
-10.13142	100.686363636364	99.9818181818182	99.8931818181818	100.006818181818
-10.10642	100.531818181818	99.9795454545455	99.8772727272727	100.009090909091
-10.08142	100.45	99.9659090909091	99.8522727272727	100.065909090909
-10.05642	100.447727272727	99.9659090909091	99.7795454545454	100.134090909091
-10.03142	100.493181818182	99.9886363636364	99.6659090909091	100.159090909091
-10.00642	100.543181818182	100.002272727273	99.5522727272727	100.147727272727
-9.98142	100.593181818182	99.9977272727273	99.4636363636364	100.143181818182
-9.95642	100.65	99.9954545454546	99.4	100.163636363636
-9.93142	100.697727272727	99.9977272727273	99.3613636363636	100.202272727273
-9.90642	100.709090909091	99.9772727272727	99.3590909090909	100.227272727273
-9.88142	100.688636363636	99.9295454545454	99.3772727272727	100.229545454545
-9.85642	100.693181818182	99.8931818181818	99.4	100.215909090909
-9.83142	100.711363636364	99.9090909090909	99.3954545454545	100.209090909091
-9.80642	100.686363636364	99.9545454545455	99.3545454545455	100.188636363636
-9.78142	100.595454545455	99.9840909090909	99.2795454545455	100.104545454545
-9.75642	100.506818181818	99.9909090909091	99.1886363636364	99.9545454545455
-9.73142	100.475	99.9840909090909	99.0840909090909	99.8022727272727
-9.70642	100.454545454545	100.004545454545	98.9704545454545	99.7272727272727
-9.68142	100.390909090909	100.063636363636	98.8613636363636	99.75
-9.65642	100.311363636364	100.170454545455	98.8045454545454	99.8181818181818
-9.63142	100.261363636364	100.281818181818	98.825	99.8818181818182
-9.60642	100.218181818182	100.340909090909	98.9318181818182	99.9136363636364
-9.58142	100.129545454545	100.318181818182	99.0954545454545	99.8909090909091
-9.55642	100.027272727273	100.231818181818	99.3	99.8204545454546
-9.53142	99.9704545454545	100.115909090909	99.5113636363636	99.7318181818182
-9.50642	99.9659090909091	100.006818181818	99.6795454545454	99.6954545454546
-9.48142	99.9772727272727	99.9522727272727	99.7909090909091	99.7522727272727
-9.45642	99.9954545454546	99.9659090909091	99.8590909090909	99.8659090909091
-9.43142	100.047727272727	100.034090909091	99.8886363636364	99.9840909090909
-9.40642	100.131818181818	100.115909090909	99.8590909090909	100.106818181818
-9.38142	100.222727272727	100.184090909091	99.8022727272727	100.236363636364
-9.35642	100.309090909091	100.234090909091	99.7636363636364	100.336363636364
-9.33142	100.379545454545	100.254545454545	99.75	100.370454545455
-9.30642	100.422727272727	100.256818181818	99.7431818181818	100.365909090909
-9.28142	100.461363636364	100.265909090909	99.7409090909091	100.361363636364
-9.25642	100.540909090909	100.320454545455	99.7431818181818	100.361363636364
