Wavelength_(nm)	S1_1.3uJ(arb.units)	S1_15uJ(arb.units)	S1_400uJ(arb.units)
248.64	-7.4759E-4	-6.4572E-4	0.00282071
249.11	0.00135922	0.00431589	0.00513167
249.57	-5.7754E-4	0.00299036	0.00472378
250.03	0.00156336	0.00176711	0.0036024
250.49	0.00152927	0.00316042	0.00530132
250.96	-0.00421402	-0.00105361	0.00312632
251.42	0.00163114	0.00265066	0.0057092
251.88	1.0187E-4	0.00112139	0.00295668
252.34	-3.397E-4	-6.4572E-4	-5.4385E-4
252.8	2.7192E-4	-0.00197085	9.8542E-4
253.27	-0.00139331	0.00227686	6.4572E-4
253.73	2.0374E-4	0.00112139	0.00224277
254.19	-3.397E-4	-0.0024806	-0.00115548
254.65	0.00275253	-3.0602E-4	-0.0014274
255.11	0.00377204	0.00632083	0.0035683
255.57	0.00101952	0.00468969	0.00122326
256.04	4.4198E-4	-0.00159705	0.00288849
256.5	0.00190307	0.00139331	0.0039421
256.96	0.00299036	-5.7754E-4	0.00421402
257.42	0.00499571	0.00183529	0.00183529
257.88	3.409E-5	0.00309264	0.00319451
258.34	-7.8168E-4	6.4572E-4	4.4198E-4
258.8	0.00254879	0.00132553	0.0021409
259.27	0.00203903	0.00173301	0.00367017
259.73	0.00224277	0.00224277	0.00489343
260.19	0.00400988	-0.00159705	0.00451963
260.65	0.00431589	0.00115548	0.00288849
261.11	-0.00193716	0.00254879	0.00295668
261.57	0.00319451	0.00156336	3.397E-4
262.03	0.0025147	0.00190307	-0.00186898
262.49	0.00632083	0.00101952	0.00285481
262.95	0.00244692	8.1577E-4	-0.00132553
263.41	-3.397E-4	-0.00135922	0.00169933
263.88	-0.00666094	-1.3596E-4	-0.00319451
264.34	-4.7567E-4	0.00125735	0.00288849
264.8	0.00156336	0.00217499	0.00207312
265.26	0.00241283	5.7754E-4	0.0018012
265.72	8.1577E-4	0.00173301	0.00183529
266.18	-9.5174E-4	0.00210681	3.738E-4
266.64	0.00254879	0.00560733	0.00723848
267.1	-0.00210681	0.00350012	0.00176711
267.56	2.7192E-4	-2.3783E-4	0.0018012
268.02	0.0018012	4.7567E-4	0.00659276
268.48	0.0018012	0.00455373	0.00424812
268.94	0.00135922	0.00125735	0.0057433
269.4	0.00513167	0.00115548	0.0036024
269.86	0.00288849	2.3783E-4	-0.00220909
270.32	0.00132553	0.00448595	0.00407806
270.78	0.0035683	0.0035683	0.00132553
271.24	-3.409E-5	-0.00125735	0.00302445
271.7	-2.0374E-4	5.0976E-4	-3.0602E-4
272.16	4.4198E-4	-0.00129144	-2.7192E-4
272.62	-7.135E-4	0.00173301	0.00275253
273.08	0.00217499	-0.00108729	2.3783E-4
273.54	0.0036024	0.00237873	-9.8542E-4
274	0.0014274	-2.0374E-4	0.0042818
274.46	0.00400988	0.00288849	0.00523354
274.92	0.00169933	0.00333047	0.00241283
275.38	0.00404397	5.7754E-4	0.00159705
275.84	0.00197085	-0.00190307	0.00553915
276.3	0.00237873	3.397E-4	0.00115548
276.76	-4.7567E-4	3.397E-4	7.4759E-4
277.22	0.0014274	0.00101952	-0.0014274
277.68	0.00292258	-0.00288849	0.00210681
278.14	-0.00149518	0.00268475	0.00105361
278.59	0.00587926	0.00526763	-4.4198E-4
279.05	3.397E-4	0.00115548	0.00645679
279.51	1.3596E-4	0.00135922	9.5174E-4
279.97	-0.00197085	-4.4198E-4	0.00353421
280.43	3.0602E-4	-9.1764E-4	-5.0976E-4
280.89	0.00210681	-0.00146149	0.0032286
281.35	0.0014274	0	6.1163E-4
281.81	-0.00261657	-0.00302445	0.00146149
282.27	2.0374E-4	0.00336456	0.00458782
282.72	6.778E-5	0.0025147	0.00292258
283.18	0.00122326	0.0021409	8.1577E-4
283.64	0.00166524	1.3596E-4	0.00146149
284.1	0.00363608	3.738E-4	0.00343234
284.56	-0.00176711	0.00424812	0.0046556
285.02	-3.397E-4	0.00169933	-5.4385E-4
285.48	0.00139331	3.738E-4	0.00261657
285.93	-0.00135922	0.00159705	0.00118957
286.39	0.00285481	0.00122326	0.00316042
286.85	-0.00152927	7.135E-4	0.0021409
287.31	0.00557324	0.00129144	0.00689877
287.77	0.00421402	0.00125735	0.00462191
288.23	0.00115548	-0.00139331	0.00635492
288.68	0.00316042	0.00295668	0.00173301
289.14	4.0789E-4	0.00316042	0.00489343
289.6	8.1577E-4	0.00193716	-0.00173301
290.06	0.00275253	0.00346643	-1.0187E-4
290.52	0.00533541	0.00207312	0.00288849
290.97	6.1163E-4	-3.0602E-4	0.00152927
291.43	0.00434999	7.8168E-4	0.00129144
291.89	6.778E-5	-0.00115548	0.00333047
292.35	0.00176711	9.5174E-4	0.00645679
292.81	0.00285481	2.0374E-4	0.00244692
293.26	0.00166524	-0.00108729	8.4946E-4
293.72	2.3783E-4	0.00390801	-6.778E-5
294.18	0.00261657	0.0018012	3.738E-4
294.64	0.00339825	0.00380614	0.00146149
295.09	0.0032286	0.00271884	0.006083
295.55	0.0014274	-0.00122326	0.00407806
296.01	-0.00176711	0.00210681	0.00333047
296.46	0.00217499	0.00176711	0.00125735
296.92	-7.4759E-4	-7.4759E-4	0.0025147
297.38	-1.3596E-4	-6.4572E-4	0.00353421
297.84	-0.00115548	-8.4946E-4	0.00302445
298.29	3.0602E-4	0.00285481	0.00509758
298.75	0.00139331	0.00506348	0.00129144
299.21	0.00108729	-9.5174E-4	0.00231096
299.66	0.00319451	0.0036024	0.00441776
300.12	-4.0789E-4	1.0187E-4	0.00346643
300.58	-1.7005E-4	0.00543728	0.00105361
301.03	6.778E-5	2.7192E-4	0.00373836
301.49	0.00404397	0.00159705	1.7005E-4
301.95	3.738E-4	7.8168E-4	0.00404397
302.4	0.00265066	0.00152927	0.00112139
302.86	0.00455373	0.00241283	0.00312632
303.32	0.00227686	7.4759E-4	0.00146149
303.77	0.00139331	1.7005E-4	-0.00135922
304.23	0.00152927	-0.00112139	0.00499571
304.69	1.0187E-4	4.0789E-4	8.1577E-4
305.14	-0.00210681	0.00166524	0.00594704
305.6	0.00112139	0.00254879	0.00275253
306.06	0.00557324	0.00659276	0.00710251
306.51	0.00445186	8.8355E-4	0.00292258
306.97	-8.1577E-4	0.00101952	0.00183529
307.42	-0.00122326	-7.135E-4	-6.1163E-4
307.88	0.00115548	-3.738E-4	0.00299036
308.34	-8.4946E-4	-0.00278662	0.00231096
308.79	0.0018012	-0.00319451	-7.4759E-4
309.25	-0.00176711	1.7005E-4	3.738E-4
309.7	0.00309264	-4.7567E-4	0.00258288
310.16	0.00316042	0.00489343	0.00530132
310.62	0.00234505	0.0042818	0.0035683
311.07	6.7981E-4	0.00169933	0.00231096
311.53	0.00159705	0.00231096	0.00241283
311.98	-0.00156336	7.8168E-4	6.778E-5
312.44	-6.7981E-4	0.00268475	-0.00159705
312.89	-8.4946E-4	-0.00237873	7.8168E-4
313.35	0.00985504	0.00995732	0.00618487
313.8	7.8168E-4	-0.00278662	0.00118957
314.26	0.00125735	0.00421402	0.00370427
314.72	0.00523354	0.00197085	-0.00159705
315.17	0.00288849	0.00339825	0.00227686
315.63	-0.00190307	-0.0039421	3.397E-4
316.08	3.409E-5	-0.00292258	6.4572E-4
316.54	0.00377204	0.00132553	-5.0976E-4
316.99	0.00234505	0.00152927	9.1764E-4
317.45	1.3596E-4	-0.00261657	6.4572E-4
317.9	-0.01124835	-0.01124835	-0.01257389
318.36	0.00282071	2.7192E-4	0.00210681
318.81	6.4572E-4	0.00207312	0.00197085
319.27	0.00169933	0.0025147	3.738E-4
319.72	0.00203903	8.1577E-4	0
320.17	0.00149518	-3.397E-4	-0.00115548
320.63	-0.00288849	-0.0024806	0.00353421
321.08	0.00112139	0.00285481	0.00326229
321.54	9.5174E-4	-0.00231096	3.409E-5
321.99	0.00139331	0.00384023	1.7005E-4
322.45	0.00122326	-7.135E-4	0.00336456
322.9	0.00265066	0.00101952	0.00183529
323.36	-0.00163114	-0.0014274	0
323.81	0.00234505	-0.00112139	0.00346643
324.26	-0.00244692	0.00183529	0.00203903
324.72	-5.4385E-4	0.00139331	9.8542E-4
325.17	0.00611709	0.00285481	0.00468969
325.63	0.00234505	-0.00285481	0.00377204
326.08	0.00384023	0.00231096	0.00516535
326.54	-2.0374E-4	-0.0021409	2.0374E-4
326.99	0.00302445	0.00220909	0.00261657
327.44	5.0976E-4	-9.1764E-4	0.0014274
327.9	-8.1577E-4	-4.0789E-4	1.0187E-4
328.35	-9.5174E-4	0.00139331	-0.00146149
328.8	0.0018012	0.00129144	-8.4946E-4
329.26	0.00146149	-0.0018012	3.409E-5
329.71	6.4572E-4	5.4385E-4	0.00197085
330.17	6.4572E-4	6.4572E-4	0.00339825
330.62	-7.135E-4	0.00295668	0.00152927
331.07	4.4198E-4	0.00217499	0.00176711
331.53	0.00299036	0.00319451	0.0071707
331.98	0.00224277	0.00101952	-3.0602E-4
332.43	0.00519945	-3.0602E-4	5.0976E-4
332.89	8.1577E-4	0.00203903	5.0976E-4
